PM2.5,PM10,NO2,NH3,SO2,CO,Ozone
15.7,None,6.25,None,2.78,0.39,14.19
25,None,10.68,None,3.67,0.75,14
23.42,None,14.93,None,4.03,0.54,36.04
18.67,None,2.4,None,8.53,0.51,18.23
23.98,None,1.81,None,4.65,0.65,16.18
34.27,None,27.61,None,5.03,0.71,18.98
33.78,None,23.07,None,5.72,0.65,20.01
44.44,None,16.14,None,6.52,0.7,20.96
30.05,None,13.08,None,5.01,0.76,11.97
33.04,None,9.74,None,4.75,0.8,18.6
31.67,None,6.67,None,4.64,0.95,18.71
34.87,None,7.58,None,4.21,0.93,15.36
31.11,None,7.38,None,3.81,0.77,13.61
27.67,None,7.85,None,4.11,0.69,29.13
27.65,None,3.28,None,2.07,0.6,22.06
30.79,None,9.31,None,4.42,0.7,19.26
22.15,None,13.81,None,4.89,0.6,8.46
15.7,None,10.35,None,1.35,0.29,11.52
32.29,None,21.45,None,2.09,0.49,10.91
21.11,None,10.39,None,3.36,0.38,12.18
28.16,None,10.61,None,3.17,0.42,11.83
21.96,None,7.06,None,6.92,0.36,17.43
22.58,None,8.25,None,1.64,0.39,13.13
24.94,None,7.48,None,4.93,0.47,13.05
24.1,None,10.28,None,3.94,0.49,13.42
26.34,None,8.64,None,2.34,0.44,13.85
26.49,None,6.36,None,3.37,0.43,12.93
23.83,None,7.01,None,2.58,0.36,11.17
17.38,None,10.05,None,5.2,0.38,13.27
13.64,None,14.75,None,3.81,0.37,11.58
9.3,None,15.88,None,4.68,0.39,13.25
10.25,None,11.29,None,4.1,0.41,12.19
14.2,None,17.31,None,5.26,0.35,11.95
63.22,None,19.73,None,5.97,0.46,12.94
17.33,None,22.41,None,3.9,0.46,13.82
13.42,None,18.81,None,2.57,0.4,12.67
16.39,None,21.57,None,4.35,0.45,16.01
14.78,None,20.85,None,1.41,0.36,16.34
14.29,None,17.97,None,5.85,0.43,16.1
45,None,16.42,None,4.95,0.47,19.76
9.21,None,0.45,None,3.18,0.36,13.49
7.89,None,3.67,None,3.56,0.4,12.82
7.22,None,0.68,None,3.02,0.32,12.07
8.43,None,0.8,None,5.15,0.35,13.96
8.56,None,3.04,None,3.7,0.46,16.1
9.93,None,7.29,None,4.65,0.35,13.42
7.58,None,6.12,None,2.65,0.47,13.44
6.33,None,5.75,None,3.1,0.46,14.03
10.21,None,8.65,None,7.6,0.32,14.89
9.55,None,21.53,None,8.58,0.48,15.69
9.93,None,3.24,None,2.01,0.34,12.26
5.49,None,3.15,None,4.66,0.31,14.48
9.86,None,3.98,None,3.86,0.37,20.42
1.44,None,6.51,None,2.93,0.39,21.91
10.7,None,6.44,None,2.79,0.38,21.09
12.05,None,4.27,None,2.59,0.44,22.43
12.88,None,3.94,None,3.88,0.45,20.68
4.89,None,3.57,None,4.94,0.4,16.86
57.75,None,3.28,None,2.42,0.47,20.04
11.06,None,4.08,None,3.09,0.43,28.48
13.77,None,3.78,None,2.49,0.53,28.41
10.66,None,3.87,None,3.79,0.42,29.03
8.78,None,3.44,None,2.25,0.42,15.99
7.06,None,7.17,None,4.52,0.39,16.14
7.61,None,8.66,None,4.75,0.46,19.28
7.59,None,6.45,None,5.56,0.45,19.13
43.97,None,4.58,None,3.98,0.43,19.4
3.59,None,6.22,None,3.96,0.43,23.51
11.76,None,8.96,None,3.16,0.51,20.38
25.16,None,5.09,None,4.8,0.47,24.42
3.96,None,5.59,None,2.82,0.39,19.86
7.93,None,7.68,None,3.32,0.57,17.78
25.62,None,4.34,None,5.6,0.57,24.54
27.81,None,7.67,None,3.17,0.46,23.2
17.82,None,4.75,None,4.74,0.5,45.37
13.09,None,3.42,None,3.15,0.48,33.07
16.45,None,6.28,None,3.78,0.44,15.84
15.96,None,11.61,None,3.34,0.42,20.53
