PM2.5,PM10,NO2,NH3,SO2,CO,Ozone
31.58,48.58,62.86,22.7,2.89,1.64,38.36
28.3,43.54,103.11,19.87,3.12,1.19,39.08
29.59,45.52,73.9,23.58,2.9,0.99,38.83
38.06,58.72,61.84,24.98,2.84,1.56,38.13
42.12,64.81,55.33,22.24,2.94,0.91,38.36
38.84,59.75,51.32,21.07,3.41,0.73,38.46
37.61,57.87,58.02,19.63,3.11,0.76,38.14
35.29,54.28,73.04,17.54,3.62,0.81,37.83
36.48,56.12,62.84,15.53,3.83,0.7,38.13
43.37,66.72,118.29,16.32,3.26,0.87,38.58
42.04,64.68,72.48,25.79,3.86,0.97,38.49
33.02,50.8,56.21,20.87,3,0.84,41.29
30.64,47.13,55.56,19.55,2.98,1.01,39.93
38.92,59.88,61.53,17.76,3.48,1.05,37.66
43.62,67.1,61.31,17.17,3.35,0.98,39.02
36.33,55.89,134.22,22.32,3.46,2.12,39.13
40.33,62.05,102.59,29.21,3.3,1.37,38.68
39.61,60.94,104.54,15.3,3.45,1.04,38.69
42.62,65.42,89.22,24.92,2.89,1.26,38.94
47.99,73.83,96.52,17.56,3.45,1.5,38.82
56.4,86.61,109.64,15.1,3.1,1.87,38.64
51.03,78.51,121.39,21.38,2.32,1.16,38.17
60.45,93,114.49,20.15,2.12,1.01,37.38
63.15,97.15,106.45,21.15,1.95,1.19,37.53
48.14,74.06,93.38,21.43,2.04,1.5,37.1
29.87,45.96,58.1,27.25,2.44,1.36,37.5
33.26,51.03,83.64,20.71,2.37,0.98,38.19
25.28,38.92,89.56,23.18,2.49,0.99,36.92
32.22,49.56,75.35,19.79,2.57,0.85,37.05
38,58.47,61.92,29.72,2.28,0.89,38.3
50.15,77.16,124.9,18,2.98,0.98,36.83
45.24,69.59,84.3,23.6,2.04,1.06,37.66
35.61,54.79,52.85,29.35,2.77,0.93,38.18
35.44,54.53,63.57,27.03,3.26,1.24,38.58
43.29,66.6,84.01,23.4,2.33,1.11,37.32
50.32,77.41,92.71,20.59,2.3,0.85,37.33
56.08,86.28,69.39,27.03,3.36,1.54,37.16
41.96,64.55,52.03,27.93,4.07,2.78,None
43.71,67.25,48.17,22.99,3.4,1.55,38.25
43.36,66.7,21.74,26.96,3.65,1.52,31.63
43.13,66.21,25.39,25.65,4.12,1.93,31.41
45.1,69.39,24.97,15.03,4.57,1.54,30.67
54.24,83.45,31.56,10.69,3.24,2.4,31.72
41.72,64.19,40.07,8.71,3.87,1.78,28.48
43.84,67.44,36.92,9.59,3.41,1.44,29.84
40.65,62.54,39.57,13.99,3.41,2.32,28.8
49.78,76.59,47.73,5.33,3.18,1.75,29.38
29.76,45.95,33.25,7.64,4.35,1.75,28.92
40.19,61.83,26.65,14.32,3.26,2.12,28.6
47.69,73.37,28.9,15.82,3.23,2.04,29.31
42.5,65.38,28.25,15.06,3.45,2.21,28.59
35.58,54.74,43.76,11.01,2.79,3.68,29.75
51.77,79.71,40.61,12.16,4.04,1.76,28.92
38.61,59.41,43.92,13.07,5.38,0.8,29.37
29.54,79.77,37.48,17.36,4.88,1.98,16.2
None,92.7,59.95,7.93,6.45,2.32,4.41
None,102.27,61.51,7.51,6.01,1.64,4.3
None,107.22,58.07,8.26,4.54,1.11,9.06
None,75.05,50.1,9.93,4.23,3.02,14.85
None,68.68,44.24,11.66,4.63,2.03,15.08
None,61.59,77.73,8.78,3.43,2.05,13.89
None,48.13,61,10.15,4.68,3.7,15.14
None,33.66,84.61,9.16,4.34,3.95,16.31
None,36,90.93,11.6,3.95,2.52,17.09
None,33,80.73,10.54,3.47,1.14,14.44
None,60.64,67.14,12.06,3.63,0.79,15.44
None,53.16,75.27,14.1,3.56,0.81,16.08
None,37.05,65.07,10.25,3.67,1.57,14.02
None,51.53,101.38,2.81,4.75,0.71,14.36
None,63.6,99.71,3.26,4.09,0.4,14.27
None,48.62,60.21,8.87,3.51,1.39,14.82
None,45.89,76.59,10.22,3.27,1.72,15.1
None,41.33,58.29,7.2,4.62,1.25,14.11
None,52.97,65.15,10.45,4.42,1.03,14
None,51.17,78.82,9.82,4.3,1.14,13.17
None,52.88,57,8.63,4.65,0.7,14.09
None,54.06,52.3,10.13,4.53,0.52,14.37
36.08,56.99,65.7,14.25,3.8,1.17,13.43
20.21,49.27,64.12,26.27,3.03,1.73,12.64
None,51.39,62.08,24.62,3.91,0.9,13.61
None,41.8,54.77,33.01,2.43,3.27,12.1
None,29.04,51.42,27.11,3.3,1.65,17.86
None,31.14,52.78,27.71,2.88,1.97,10.43
None,40.74,62.46,27.11,2.72,1.87,12.76
None,47.94,72.87,26.04,2.67,0.63,13.55
None,36.11,94.47,17.59,2.72,1.96,12.18
23.35,42.59,49.03,16.62,3.28,0.75,11.73
17.99,45.16,43.82,18.09,2.92,1.23,11.51
10.46,31.39,57.09,13.65,3,1.25,11.52
10.43,31.33,76.07,12.84,3.07,1.42,11.23
13.4,36.76,65.01,14.08,3.21,1.32,11.77
13.34,36.66,73.79,10.47,3.14,1.04,11.75
13.8,37.49,76.78,12.57,3.57,0.78,11.25
13.05,36.16,86.58,11.14,3.81,1.56,12.57
12.4,34.93,81.26,19.87,3.05,1.53,14.31
9.25,29.17,83.23,22.96,2.82,1.17,10.99
10.49,31.45,61.91,27,2.91,1.12,11.79
14.35,38.51,78.66,27.26,2.77,1.21,12.19
16.01,41.53,72.4,16.07,3.9,0.8,12.13
12.82,35.7,70.8,12.95,4.69,0.82,12.29
14.93,39.56,87.74,14.82,4.45,1.08,12.29
17.53,44.32,54.21,17.24,4.88,1.06,10.39
16.87,43.11,37.91,19.79,2.07,1.61,4.6
