,PM2.5,PM10,NO2,NH3,SO2,CO,Ozone
908,20.43,40.87,5.86,9.9,0.08,0.7,35.03
909,26.69,52.96,9.05,11.8,11.27,0.7,30.37
910,30.51,61.01,5.25,7.07,0.01,0.7,21.17
911,27.34,54.12,4.87,7.57,127.87,0.69,9.68
912,21.97,43.93,6.6,7.58,19.56,0.7,7.36
913,27.44,55.13,9.64,11.75,28.36,0.7,19.5
914,23.12,46.24,7.47,10.99,32.57,0.7,15.42
915,25.18,50.37,6.63,10.62,44.25,0.7,21.87
916,16.92,33.84,6.04,9.08,43.79,0.69,5.59
917,29.84,59.68,7.58,10.57,50.14,0.7,4.07
918,23.79,47.45,6.25,9.14,30.12,0.7,4.91
919,28.11,56.19,6.53,9.67,9.28,0.7,15.46
920,17.22,34.45,0.02,9.615,9.71,0.7,29.57
921,19.51,39.02,5.095,9.793333333333335,10.15,0.7,11.56
922,15.84,31.67,4.266666666666667,9.405000000000001,10.19,0.7,13.76
923,26.31,52.63,3.275,9.67,10.16,0.7,9.13
924,34.01,68.02,0.02,11.446666666666667,10.35,0.7,5.97
925,26.09,52.18,7.005,13.223333333333333,10.34,0.7,1.73
926,16.44,32.59,13.99,15.0,10.35,0.7,16.68
927,26.38,52.75,14.01,15.0,10.57,0.7,6.96
928,15.91,31.81,14.03,15.0,10.69,0.69,4.95
929,21.205000000000002,42.3325,14.01,15.0,10.487499999999995,0.6975,7.58
930,20.78,41.0,14.01,15.0,10.93,0.7,13.26
931,23.64,47.02,14.02,15.0,10.87,0.7,15.87
932,26.23,52.03,14.02,15.01,10.53,0.7,16.98
933,31.96,63.97,14.01,15.0,10.73,0.7,6.41
934,29.7,59.38,13.12,15.01,10.86,0.7,0.78
935,29.8,59.47,11.48,15.0,10.87,0.7,7.65
936,23.98,47.94,11.48,15.0,10.97,0.7,8.54
937,19.37,38.08,11.5,14.99,11.16,0.7,17.31
938,23.14,45.45,11.47,15.01,11.87,0.7,11.4
939,34.52,69.04,11.49,15.01,12.39,0.7,9.18
940,30.77,61.29,11.47,14.99,12.39,0.7,10.05
941,34.82,69.64,11.49,15.0,12.53,0.7,6.99
942,25.89,51.86,11.48,15.02,12.43,0.7,6.63
943,21.61,43.22,11.47,15.0,12.44,0.7,5.87
944,24.13,48.26,11.47,15.0,12.43,0.7,11.12
945,22.92,45.84,11.48,14.99,12.46,0.7,6.84
946,25.85,51.7,11.48,14.99,12.61,0.7,6.59
947,30.91,62.04,11.47,15.0,12.76,0.7,10.06
948,27.57,55.45,11.49,15.0,12.45,0.7,9.28
